user_id,name,email,phone,address,signup_date,membership_status,loyalty_points
89139,Danielle Johnson,danielle.johnson@outlook.com,533-521-8196x001,"386 Shane Harbors, Port Lindachester, MA 36922",2024-01-03,Silver,10776
90756,Jason Gallagher,jason.gallagher@outlook.com,916-315-5940,"Unit 6184 Box 9593, DPO AP 09617",2023-10-10,Bronze,3327
97573,Donna Mejia,donna.mejia@aol.com,731-564-7525,"283 Steven Groves, Lake Mark, WI 07832",2024-02-29,Bronze,4977
87362,Lydia Trujillo,lydia.trujillo@outlook.com,(541)639-5376x7242,"653 William Course Apt. 122, Carlsonfurt, MS 78605",2024-09-02,Bronze,3000
92087,Allison Maddox,allisonmaddox@icloud.com,9182451462,"USNV Stanton, FPO AE 67043",2025-08-13,Silver,11077
90278,Daniel Garrett,daniel74@gmail.com,+1-289-332-5288x0957,"USNV Allen, FPO AE 74865",2023-11-05,Bronze,2283
93056,Christopher Tucker,christophertucker@gmail.com,882-527-8248,"USNS Marquez, FPO AA 88540",2025-01-21,Bronze,3170
33617,Nathaniel Lam,nathaniel.lam34@gmail.com,213.331.5098x393,"10518 Joshua Oval, New David, FM 75348",2024-11-25,Bronze,2339
81921,Thomas Mueller,thomasmueller@outlook.com,(331)516-5667x01065,"62473 Scott Wall Apt. 080, Port Melindaburgh, MT 64154",2024-09-12,Gold,22406
94719,Jason Morales,jason57@aol.com,9264064746,"98050 Breanna Parkway, North Susan, CO 24857",2023-10-28,Silver,6063
71821,Brooke Leonard,brookeleonard@hotmail.com,361.893.9909,"3534 Anderson Rue Suite 751, South Christineshire, CT 10103",2024-10-26,Silver,13335
88101,Jason Baker,jason.baker31@yahoo.com,(613)354-2784x980,"USNS Baker, FPO AE 97811",2024-11-07,Bronze,4538
88650,Eric Campbell,eric.campbell@outlook.com,853.648.7401,"42786 Daniel Spurs Apt. 805, South David, ME 48296",2025-08-03,Bronze,3261
92742,Sarah Stanton,sarah.stanton68@aol.com,4535315869,"0256 Joseph Turnpike, South Monicafort, IN 26659",2025-05-31,Silver,14419
11402,Samantha Bailey,samantha.bailey10@hotmail.com,730.836.5414,"14294 Daniel Mews Suite 569, South Rachelborough, KS 06318",2025-03-08,Bronze,4238
14357,Ryan Meyer,ryanmeyer@icloud.com,+1-635-661-5951,"4823 Ortega Light Apt. 994, Kelleytown, ME 38107",2024-02-15,Silver,7114
15139,Russell Carpenter,russellcarpenter@gmail.com,+1-757-377-3872x1489,"433 Andrew Gardens, Carrland, NH 54822",2025-07-24,Bronze,1326
91014,Crystal Lee,crystal29@aol.com,001-967-263-2016x328,"2788 Dodson Mills, Rivasside, NV 21362",2025-04-04,Gold,19105
35297,Michelle Cole,michelle36@icloud.com,001-334-487-3471x43455,"231 Russell Plains Suite 603, Priceshire, UT 03061",2025-07-01,Silver,6530
13245,Nicole Johnston,nicolejohnston@yahoo.com,805.946.6889x3734,"627 Tina Place Apt. 699, North Dawnberg, VI 61016",2024-01-24,Bronze,4957
89125,Brent Gray,brent.gray@icloud.com,975.256.4641,"3100 James Brooks, East David, TN 15494",2024-11-16,Bronze,4724
81051,Stacie Marshall,stacie.marshall74@yahoo.com,852-899-1241x904,"USNS Jones, FPO AP 82714",2024-03-11,Silver,5496
99155,Curtis Barton,curtis70@aol.com,+1-991-390-5865x18506,"726 Jessica Run Suite 987, Grahamshire, KY 42746",2025-06-27,Bronze,3326
2340,John Michael,johnmichael@gmail.com,973-579-9650x752,"4948 Zachary Field Apt. 367, Lake Thomas, VT 64833",2024-08-18,Bronze,3966
82806,Laura Davis,laura78@hotmail.com,763.849.5788,"Unit 8557 Box 4443, DPO AE 95041",2024-02-01,Gold,20231
87004,Leslie Newton,leslie52@hotmail.com,001-723-437-4989x41343,"0084 Dana Terrace, Garciatown, OK 37769",2024-09-03,Silver,6739
51201,Timothy Peterson,timothy.peterson35@outlook.com,2474116719,"31869 Kimberly Light Suite 749, Torreston, RI 97505",2023-11-21,Bronze,793
82490,Stacey Clark,staceyclark@outlook.com,241.823.2812,"0344 Jones Fort Suite 936, New Jeffreyberg, PW 35317",2025-06-08,Platinum,35233
88742,Douglas Brown,douglasbrown@icloud.com,999-347-1746x4887,"594 Christopher Spring Apt. 490, South April, NV 36959",2024-01-23,Silver,13163
83368,Wendy Graham,wendy.graham40@outlook.com,817.256.5512x5674,"5168 Diane Plains Suite 603, Cindyfort, SC 58440",2025-04-17,Bronze,3221
89129,Brett Adams,brett28@yahoo.com,(647)271-0932,"17127 Hicks Groves, Davenportfort, IA 60372",2024-11-06,Bronze,2304
80212,Duane Lee,duane87@aol.com,+1-982-414-6584x044,"5886 Cantu Ways Apt. 396, Port Kimberly, AZ 42205",2025-04-05,Silver,6761
70835,Thomas Mcintyre,thomas.mcintyre47@hotmail.com,(962)270-2895x1718,"217 Morgan Square Suite 158, Finleyfort, VI 71413",2023-10-02,Bronze,3281
27521,Christina Young,christina25@icloud.com,+1-643-716-1172x40050,"86922 Christian Ways, Harveybury, NM 76936",2023-12-25,Bronze,4130
