user_id,name,email,phone,address,signup_date,membership_status,loyalty_points
1,Allison Hill,bullsfan32@outlook.com,001-759-491-9456x4464,"11247 Cooley Fork Suite 302, Wilsonview, GA 16689",2024-04-13,Bronze,863
2,Noah Rhodes,crimson90@comcast.net,490.804.1524,"4419 Jose Point, Harrisborough, AK 34465",2024-10-16,Platinum,14883
3,Angie Henderson,lakersfan28@outlook.com,785.254.7018x9779,"448 White Branch, Lake Catherine, NE 19302",2023-12-24,Silver,12145
4,Daniel Wagner,jazzfan26@att.net,446-770-9367,"08076 Mark Bypass Apt. 834, West Matthewport, IA 57812",2024-03-14,Silver,3055
5,Cristian Santos,rb29@live.com,2289004177,"07459 Vaughn Centers, East Scottfort, NE 41415",2023-11-06,Bronze,12186
6,Connie Lawrence,alpha98@sbcglobal.net,646.203.1613,"50529 Sarah Parkway Suite 054, Martinton, RI 93778",2025-05-16,Bronze,2682
7,Abigail Shaffer,pasta36@hotmail.com,001-779-692-1645x7527,"784 Kelly Parks, Richardchester, GU 92928",2024-08-26,Bronze,12882
8,Gina Moore,universe23@yahoo.com,+1-828-832-8678x5150,"8112 Gerald Forks, Adamsmouth, GU 35464",2023-11-04,Gold,5278
9,Gabrielle Davis,glacier87@aol.com,681.255.7155x66166,"8230 Edwin Vista Suite 395, West Carmen, MH 17762",2025-06-17,Silver,13805
10,Ryan Munoz,tiffany550@yahoo.com,001-736-736-4605,"48275 Susan Harbors Apt. 088, Nelsontown, KY 74992",2023-12-12,Silver,16997
11,Monica Herrera,brandy81@msn.com,561-413-3956,"98942 Aaron Curve Apt. 559, New Jillchester, FL 59177",2025-04-07,Bronze,1872
12,Jamie Arnold,drone47@comcast.net,(845)318-2569,"4468 Miller Mountains Suite 495, Gutierrezfort, ME 30319",2025-06-08,Platinum,11346
13,Lisa Hensley,gamer678@outlook.com,001-821-926-9748,"89760 Laura Drives, Burnsmouth, SD 20353",2025-07-09,Gold,7723
14,Michele Williams,preston.williams@bellsouth.net,+1-348-879-8963,"2666 Pratt Plain Suite 926, Andreaburgh, TN 12071",2025-03-11,Bronze,13871
15,Dylan Miller,copper285@live.com,405.427.0436,"721 Johnson Underpass, Lake Stephen, MO 40219",2025-07-19,Bronze,15946
16,Brian Ramirez,valley57@icloud.com,001-259-316-4230x12746,"58526 Amy Island, Lake Lauraville, GU 14352",2024-05-30,Bronze,7189
17,Holly Wood,chef78@verizon.net,763.719.1986x3708,"9533 Melendez Parks, Stephaniefurt, WA 22159",2024-06-24,Bronze,12752
18,Derek Zuniga,snow30@live.com,560.762.2306,"588 Margaret Pines Suite 241, Greenville, OK 84568",2025-06-03,Silver,11565
19,Lisa Jackson,quantum29@verizon.net,(373)257-7569x42984,"637 Miller Tunnel, Port John, ND 16551",2024-02-27,Bronze,6942
20,Carla Gray,cosmos39@bellsouth.net,900-632-7303x2482,"77851 Simmons Trace, New Staceymouth, NJ 04844",2025-06-02,Bronze,14730
