user_id,name,email,phone,address,signup_date,membership_status,loyalty_points
1,Allison Hill,bullsfan32@outlook.com,(777)216-7014,"15391 Linda Turnpike Apt. 074, Lake Katherine, VA 01334",2025-07-01,Bronze,1341
2,Noah Rhodes,crimson90@comcast.net,001-989-793-5889x163,"PSC 7365, Box 1189, APO AE 75955",2025-06-18,Platinum,11855
3,Angie Henderson,lakersfan28@outlook.com,+1-762-589-0028x77217,"557 Anthony Court Apt. 432, East Joan, VA 24014",2023-11-01,Silver,338
4,Daniel Wagner,jazzfan26@att.net,340-983-8663x17797,"24707 Christine Bypass, Lake Rhondaborough, MN 82700",2025-04-03,Silver,5895
5,Cristian Santos,rb29@live.com,351.670.1660x880,"621 Thomas Avenue Apt. 508, Lake Megan, MT 14725",2024-12-12,Bronze,12254
6,Connie Lawrence,alpha98@sbcglobal.net,783.975.5037x58997,"12616 Holly Expressway, Jenniferside, FM 89255",2024-01-06,Bronze,19092
7,Abigail Shaffer,pasta36@hotmail.com,713-305-5488,"2989 Stephanie Manors Apt. 974, Jorgeborough, VA 03126",2024-11-27,Bronze,11344
8,Gina Moore,universe23@yahoo.com,5273261493,"8719 Laura Crossroad Apt. 381, Fostershire, VT 97181",2025-08-20,Gold,1750
9,Gabrielle Davis,glacier87@aol.com,(437)935-1609x1779,"283 John Causeway, East Amberland, MA 69323",2024-06-25,Silver,2421
10,Ryan Munoz,tracy550@yahoo.com,4804869782,"5822 Ronald Vista Apt. 231, New Scott, NE 94993",2025-05-06,Silver,7119
11,Monica Herrera,donna81@msn.com,569-695-8669,"572 Haney Junction, North Kathytown, WI 87648",2025-01-21,Bronze,5319
12,Jamie Arnold,drone47@comcast.net,(554)572-2698x4858,"52911 Timothy Valley, South Kristenside, SD 49199",2024-12-22,Platinum,15896
13,Lisa Hensley,gamer678@outlook.com,394.752.2885,"255 Chambers Underpass, Karenview, GA 11647",2023-12-28,Gold,11918
14,Michele Williams,christopher.stephens@bellsouth.net,+1-379-296-8460,"987 Henry Trafficway, East Gregoryport, NY 81982",2023-12-02,Bronze,13849
15,Dylan Miller,copper285@live.com,(220)703-4244x2043,"7086 Johnson Rapid Apt. 043, Reedmouth, CO 47879",2023-09-07,Bronze,4873
16,Brian Ramirez,valley57@icloud.com,819.883.8638x406,"266 Joe Drive Suite 835, Donnastad, ME 22814",2025-06-27,Bronze,4806
17,Holly Wood,chef78@verizon.net,+1-558-500-4397x35989,"080 Brown Fords Apt. 699, Montgomerytown, WI 82342",2024-05-24,Bronze,8592
18,Derek Zuniga,snow30@live.com,672-412-2816x0648,"10401 King Pines, New Rosetown, KS 82496",2024-02-27,Silver,12182
19,Lisa Jackson,quantum29@verizon.net,(794)205-7202,"773 Nicholas Track, New Deborah, MO 35602",2023-09-25,Bronze,19541
20,Carla Gray,cosmos39@bellsouth.net,001-494-879-8515x83281,"69428 Russell Estate, East Natashaberg, MN 95167",2024-09-13,Bronze,16774
21,Margaret Hawkins DDS,pegasus275@yahoo.com,+1-786-615-3355,"14417 Lynn Highway Suite 255, Michelleton, HI 53359",2023-11-11,Silver,12045
22,Patty Perez,immortalperson28@verizon.net,598.578.0157,"8243 Elizabeth Mountains Suite 464, Williamhaven, NY 03449",2024-01-07,Bronze,4430
23,Ethan Adams,silent1989@aol.com,7569164840,"3888 Maria Harbor, Jessicaberg, NH 80467",2024-01-18,Bronze,8820
24,Tommy Walter,body78@aol.com,504.535.8112x8801,"504 Victoria Highway, East Sabrina, IL 47039",2025-08-20,Bronze,4232
25,Matthew Foster,fish52@icloud.com,+1-261-438-6120x75011,"516 Lindsay Valley Apt. 119, Foxville, ND 06835",2024-07-26,Bronze,11122
26,Judy Baker,brilliant73@yahoo.com,281-893-4667x665,"91373 Richard Islands, North Nicole, PR 05056",2023-10-08,Silver,15023
27,Justin Baker,jackson.mcclure@hotmail.com,+1-318-609-1901x58144,"875 Davis Parkway, Maxwellhaven, MH 01599",2025-07-09,Bronze,8007
28,Stephanie Ross,iota77@yahoo.com,001-676-760-7283x26842,"00915 Rodriguez Crossroad, East Haleymouth, NJ 83972",2023-10-19,Silver,17905
29,Zachary Hicks,software77@aol.com,8883210099,"491 Rangel River Apt. 659, Denniston, CA 41294",2025-08-03,Silver,9018
30,Anthony Rodriguez,mike.griffin@verizon.net,335-436-8222x3943,"941 Perez Locks, Coopertown, OR 18758",2024-11-13,Bronze,1500
31,Rebecca Henderson,employee97@aol.com,+1-790-787-8141x41397,"22399 Charles Mission Suite 556, North Jonathanton, UT 98282",2023-12-12,Silver,6737
