user_id,name,email,phone,address,signup_date,membership_status,loyalty_points,customer_lifecycle,state,city,timezone,age_group,gender,income_level,acquisition_channel,referral_source,engagement_level,is_newsletter_subscriber,is_sms_subscriber,last_login_date,total_logins,estimated_clv,customer_preferences,communication_preferences
1,Allison Hill,allison_hill@hotmail.com,(323) 905-1981,"2590 Broadway, Elizabethmouth, CA 70875",2024-12-30,Bronze,1807,at_risk,CA,Elizabethmouth,PST,45-54,M,Middle,social_media,,medium,True,False,2025-07-20,9,88.66,"{'preferred_categories': ['Beauty', 'Toys', 'Books', 'Health', 'Home'], 'price_sensitivity': 'medium', 'brand_loyalty': 'low', 'shopping_frequency': 'occasional', 'preferred_payment': 'debit_card'}","{'email': True, 'sms': True, 'push_notifications': True, 'phone_calls': False}"
2,Noah Rhodes,noah.awesome98@gmail.com,(308) 526-4960,"7643 Oak Ave Suite 254, Terryside, HI 22689",2022-10-30,Platinum,14368,champion,HI,Terryside,EST,25-34,M,Middle,organic_search,,high,True,False,2024-06-11,96,2733.7,"{'preferred_categories': ['Toys', 'Beauty', 'Clothing'], 'price_sensitivity': 'medium', 'brand_loyalty': 'high', 'shopping_frequency': 'frequent', 'preferred_payment': 'apple_pay'}","{'email': True, 'sms': False, 'push_notifications': True, 'phone_calls': True}"
3,Angie Henderson,angie.pro25@gmail.com,(904) 710-6055,"8149 Main St Ste 403, East Robert, FL 41552",2024-03-31,Gold,14981,champion,FL,East Robert,EST,18-24,M,Low,social_media,,low,True,False,2025-03-15,36,242.67,"{'preferred_categories': ['Sports', 'Beauty', 'Health'], 'price_sensitivity': 'low', 'brand_loyalty': 'high', 'shopping_frequency': 'regular', 'preferred_payment': 'paypal'}","{'email': False, 'sms': False, 'push_notifications': False, 'phone_calls': True}"
4,Daniel Wagner,daniel.wagner.11@gmail.com,(310) 641-3194,"4334 Washington St, Byrdburgh, RI 57964",2025-02-25,Silver,4840,at_risk,RI,Byrdburgh,EST,55-64,F,Upper-Middle,direct,,high,True,False,2025-08-20,20,431.13,"{'preferred_categories': ['Electronics', 'Beauty'], 'price_sensitivity': 'low', 'brand_loyalty': 'high', 'shopping_frequency': 'regular', 'preferred_payment': 'paypal'}","{'email': False, 'sms': False, 'push_notifications': True, 'phone_calls': True}"
5,Cristian Santos,cristian46@gmail.com,(838) 896-2946,"2109 Oak Ave, Richardtown, OK 54444",2025-01-10,Bronze,667,at_risk,OK,Richardtown,EST,25-34,F,Middle,direct,,high,False,True,2025-06-30,32,205.86,"{'preferred_categories': ['Toys', 'Sports'], 'price_sensitivity': 'high', 'brand_loyalty': 'low', 'shopping_frequency': 'regular', 'preferred_payment': 'paypal'}","{'email': True, 'sms': False, 'push_notifications': False, 'phone_calls': True}"
6,Connie Lawrence,theconnielawrence@att.net,(541) 685-9508,"7488 First St, Justinchester, CT 77568",2023-04-23,Bronze,2964,at_risk,CT,Justinchester,EST,55-64,M,Low,social_media,,medium,True,False,2024-07-27,43,54.64,"{'preferred_categories': ['Toys', 'Books'], 'price_sensitivity': 'high', 'brand_loyalty': 'medium', 'shopping_frequency': 'frequent', 'preferred_payment': 'paypal'}","{'email': True, 'sms': True, 'push_notifications': True, 'phone_calls': False}"
7,Abigail Shaffer,abigail.shaffer.74@gmail.com,(954) 745-9025,"9223 Park Ave, Stevenmouth, FL 12180",2024-07-03,Bronze,2324,at_risk,FL,Stevenmouth,EST,35-44,F,Upper-Middle,direct,,high,True,False,2025-06-01,52,210.72,"{'preferred_categories': ['Home', 'Beauty', 'Clothing', 'Electronics', 'Health'], 'price_sensitivity': 'low', 'brand_loyalty': 'medium', 'shopping_frequency': 'occasional', 'preferred_payment': 'paypal'}","{'email': False, 'sms': False, 'push_notifications': False, 'phone_calls': True}"
8,Gina Moore,realginamoore@protonmail.com,(909) 791-4728,"842 Elm St, New Thomas, CA 78712",2023-03-21,Platinum,16355,champion,CA,New Thomas,PST,35-44,M,Lower-Middle,organic_search,,low,True,False,2024-07-07,34,791.64,"{'preferred_categories': ['Sports', 'Books', 'Electronics', 'Beauty'], 'price_sensitivity': 'medium', 'brand_loyalty': 'high', 'shopping_frequency': 'frequent', 'preferred_payment': 'debit_card'}","{'email': False, 'sms': True, 'push_notifications': True, 'phone_calls': False}"
9,Gabrielle Davis,gabrielledavis@gmail.com,(214) 651-6139,"6862 First St, Lake Christopher, TX 36724",2022-11-08,Gold,9679,loyal,TX,Lake Christopher,CST,25-34,F,Lower-Middle,paid_search,,high,True,False,2025-04-09,1,1209.93,"{'preferred_categories': ['Clothing', 'Sports'], 'price_sensitivity': 'medium', 'brand_loyalty': 'medium', 'shopping_frequency': 'frequent', 'preferred_payment': 'apple_pay'}","{'email': False, 'sms': True, 'push_notifications': False, 'phone_calls': True}"
10,Ryan Munoz,ryan17@outlook.com,(878) 689-9609,"6174 Washington St, Clarencebury, VA 70249",2023-12-27,Gold,10788,champion,VA,Clarencebury,EST,45-54,M,High,influencer,,low,True,False,2025-04-22,71,877.58,"{'preferred_categories': ['Toys', 'Home', 'Electronics'], 'price_sensitivity': 'high', 'brand_loyalty': 'medium', 'shopping_frequency': 'frequent', 'preferred_payment': 'apple_pay'}","{'email': True, 'sms': False, 'push_notifications': False, 'phone_calls': False}"
