user_id,name,email,phone,address,signup_date,last_login,loyalty_points,membership_status,preferred_payment_method,record_type,product_id,category,price,cost,stock_quantity,rating,discount,order_id,order_date,status,payment_method,shipping_address,total_amount,quantity,review_id,review_text,review_date
1.0,Allison Hill,qjacobson@example.org,6502166799,"6497 Mclean Corners Suite 365, Vazquezton, KS 43836",2024-02-01,2024-05-16,654.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
2.0,Noah Rhodes,ylopez@example.com,767.389.9730x8069,"55373 Brianna Lights Suite 969, South Scott, DE 83730",2024-12-30,2025-07-12,3912.0,Gold,Google Pay,user,,,,,,,,,,,,,,,,,
3.0,Angie Henderson,seanbaker@example.com,567-917-9576x024,"96353 Heather Ramp Suite 025, Danielhaven, GA 61144",2023-05-11,2025-01-31,25.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
4.0,Daniel Wagner,jeremy49@example.org,(873)783-9597x246,"4315 Hendricks River, Cherylstad, LA 54757",2024-07-18,2024-11-25,2753.0,Silver,PayPal,user,,,,,,,,,,,,,,,,,
5.0,Cristian Santos,karencontreras@example.org,329.834.1722x3297,"5443 Fletcher Turnpike, Port Peggyville, MO 75131",2024-02-05,2025-03-20,250.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
6.0,Connie Lawrence,lindsey69@example.org,243.338.0054x5228,"PSC 9393, Box 4497, APO AA 30177",2024-01-01,2024-01-19,228.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
7.0,Abigail Shaffer,randallloretta@example.com,661-493-1837x45508,"4088 Dustin Causeway Suite 862, Cummingsborough, OK 88189",2023-11-11,2024-08-04,142.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
8.0,Gina Moore,parmstrong@example.com,001-289-310-7711x991,"32109 Anderson Spurs Apt. 170, Murphyhaven, MI 25760",2025-06-27,2025-08-30,754.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
9.0,Gabrielle Davis,christian08@example.net,(313)452-4787,"5792 Benjamin Branch Apt. 449, Charlesfurt, CA 19949",2021-05-02,2025-04-05,104.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
10.0,Ryan Munoz,davidtodd@example.org,+1-455-321-3760x3754,"002 Rodriguez Tunnel, East Jessicamouth, MA 52075",2022-04-12,2024-04-03,692.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
11.0,Monica Herrera,teresastokes@example.org,856-953-2863x266,"59570 Arellano Common Apt. 145, Jaimemouth, MO 51342",2024-05-23,2025-06-08,758.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
12.0,Jamie Arnold,hendersonvanessa@example.com,250.872.0811x55626,"88503 Zamora Field, Mooreberg, AZ 33093",2021-11-27,2025-07-11,913.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
13.0,Lisa Hensley,wendyburton@example.net,001-602-490-8466x84550,"2463 Andrew Fort Suite 968, Harringtonside, MP 04173",2025-01-22,2025-08-02,558.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
14.0,Michele Williams,luis11@example.com,001-367-238-9975x634,"294 Mullins Causeway Apt. 177, Calebview, ID 05421",2021-03-29,2021-08-30,89.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
15.0,Dylan Miller,rarnold@example.net,+1-656-728-8431,"23850 Fernando Points Suite 665, South Karen, VA 99315",2024-10-28,2024-11-29,604.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
16.0,Brian Ramirez,astark@example.net,001-620-708-9434x68105,"PSC 2332, Box 8293, APO AE 18365",2024-01-29,2024-08-31,3956.0,Silver,Credit Card,user,,,,,,,,,,,,,,,,,
17.0,Holly Wood,jrodriguez@example.org,501-574-9075,"9133 Jerry Forges Apt. 467, Jonesville, TN 56570",2023-05-22,2025-05-12,760.0,Silver,Google Pay,user,,,,,,,,,,,,,,,,,
18.0,Derek Zuniga,buckleyanna@example.org,(544)792-6831x589,"76279 Potter Island Apt. 024, Jasonland, MH 23181",2025-08-15,2025-08-18,30.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
19.0,Lisa Jackson,mikayla56@example.com,912.366.1106x273,"PSC 9847, Box 2303, APO AA 94445",2021-05-11,2024-08-21,1267.0,Silver,Apple Pay,user,,,,,,,,,,,,,,,,,
20.0,Carla Gray,kpena@example.net,(986)898-8649x767,"PSC 2028, Box 4719, APO AP 02648",2025-08-13,2025-08-25,2291.0,Silver,PayPal,user,,,,,,,,,,,,,,,,,
21.0,Margaret Hawkins DDS,rjohnson@example.com,(328)527-7288,"24050 Olsen Stravenue, Hendricksview, TN 72127",2024-08-25,2024-10-14,238.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
22.0,Patty Perez,christinebecker@example.com,670.228.5196x115,"7546 Cindy Village, West Brendan, MN 84363",2023-02-09,2023-07-15,7139.0,Gold,Apple Pay,user,,,,,,,,,,,,,,,,,
23.0,Ethan Adams,fosternatasha@example.net,221.654.5447x02296,"72581 Eric Rapid Apt. 956, Changport, VT 33887",2021-12-10,2022-05-22,7931.0,Gold,Google Pay,user,,,,,,,,,,,,,,,,,
24.0,Tommy Walter,brandonalvarez@example.com,632-970-1851x0679,"PSC 2373, Box 3791, APO AE 13572",2025-02-24,2025-06-13,27.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
25.0,Matthew Foster,andrew44@example.com,867-892-2877x72519,"18780 Heidi Spurs, Aguirreton, TN 10191",2024-12-08,2025-04-17,574.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
26.0,Judy Baker,rgarrison@example.org,265.680.7412,"4039 Michael Radial, Heatherburgh, PA 42226",2023-03-17,2025-01-08,4628.0,Gold,Google Pay,user,,,,,,,,,,,,,,,,,
27.0,Justin Baker,dennismccann@example.com,+1-518-913-9890,"1222 Dougherty Summit, Johnside, NH 24328",2022-01-21,2024-10-22,4964.0,Silver,PayPal,user,,,,,,,,,,,,,,,,,
28.0,Stephanie Ross,joseph69@example.net,701.882.0433x97189,"2216 Nicholas Islands Suite 963, Lake Jill, UT 71224",2024-04-30,2025-08-08,429.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
29.0,Zachary Hicks,lopezjason@example.com,001-707-805-6260,"4470 Shaw Path, Romeroshire, MA 02040",2023-08-14,2025-07-19,225.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
30.0,Anthony Rodriguez,xmalone@example.org,611-818-2422x412,"05968 Jones Trafficway, Jakemouth, NM 34236",2021-10-04,2023-06-19,459.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
31.0,Rebecca Henderson,cameronmckinney@example.com,+1-720-695-2004x61526,"6329 Gutierrez Grove, South Samantha, NJ 42300",2024-03-30,2024-11-22,603.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
32.0,James Ferrell,kimberlywarren@example.net,(610)233-9937x8861,"9206 Norma Keys, East Lisaberg, AK 86237",2022-04-05,2024-02-08,2778.0,Silver,Google Pay,user,,,,,,,,,,,,,,,,,
33.0,Tricia Valencia,thompsonnancy@example.org,578-461-7063x04891,"94115 Robinson Drive, Leslieshire, MO 30987",2024-08-30,2024-09-09,828.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
34.0,Nathan Maldonado,wrightstephen@example.com,896-971-8325x8238,"262 Beck Falls Apt. 661, Elizabethhaven, AK 85213",2021-01-22,2025-03-27,890.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
35.0,Debra Davidson,joshuacolon@example.net,6076942007,"33138 Bradley Ports Apt. 211, Port Edwin, MP 23162",2021-09-10,2023-08-09,553.0,Silver,PayPal,user,,,,,,,,,,,,,,,,,
36.0,Jeffrey Chavez,hreid@example.net,+1-865-339-8402x89141,"481 Medina Ways Suite 868, Esparzaport, MH 01606",2023-01-18,2023-11-28,777.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
37.0,Sherri Baker,allentracy@example.com,(684)963-9855,"548 Pedro Inlet, Port Mary, AL 06082",2023-05-07,2024-09-11,825.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
38.0,Cassandra Gaines,susanwells@example.net,935-253-7950x209,"877 Sanchez Island, Kimberlyfurt, SC 53156",2025-05-04,2025-08-27,1807.0,Silver,Apple Pay,user,,,,,,,,,,,,,,,,,
39.0,Elizabeth Fowler,max41@example.com,2269876811,"419 Ramsey Forge Suite 219, Lake Sarah, AS 19484",2022-04-20,2023-11-03,8719.0,Gold,PayPal,user,,,,,,,,,,,,,,,,,
40.0,Brittany Farmer,hughesfrank@example.net,+1-215-569-5620x17537,"04104 Cheryl Place, Port Teresa, LA 96542",2023-12-19,2024-10-17,3962.0,Silver,Google Pay,user,,,,,,,,,,,,,,,,,
41.0,Paula Moreno,mercedesholland@example.net,001-604-953-1943x3750,"79726 Johnston Pine, Lake Eugeneborough, DE 96885",2022-05-26,2025-05-10,3287.0,Silver,Credit Card,user,,,,,,,,,,,,,,,,,
42.0,Fred Smith,josephortiz@example.org,001-593-403-6149x872,"66602 Bryan Keys, Lake Evan, MA 25849",2025-09-02,2025-09-04,284.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
43.0,Sherry Decker,wellsdavid@example.org,692-512-4938,"05052 Sanchez Pines, New Jennifer, MI 73003",2025-02-08,2025-03-23,159.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
44.0,Anthony Humphrey,walkercharlene@example.com,+1-308-994-8706x05664,"299 Brian Locks Suite 276, Port Jeremy, PR 73352",2022-12-01,2025-06-08,2263.0,Silver,PayPal,user,,,,,,,,,,,,,,,,,
