user_id,name,email,phone,address,signup_date,membership_status,loyalty_points
96257,Danielle Johnson,danielle.johnson7@icloud.com,533-521-8196x001,"386 Shane Harbors, Port Lindachester, MA 36922",2024-01-03,Silver,9091
95479,Jason Gallagher,jason.gallagher@yahoo.com,916-315-5940,"Unit 6184 Box 9593, DPO AP 09617",2023-10-10,Bronze,119
98521,Donna Mejia,donna.mejia@yahoo.com,731-564-7525,"283 Steven Groves, Lake Mark, WI 07832",2024-02-29,Bronze,791
90165,Lydia Trujillo,lydiatrujillo@aol.com,(541)639-5376x7242,"653 William Course Apt. 122, Carlsonfurt, MS 78605",2024-09-02,Bronze,4198
95903,Allison Maddox,allisonmaddox@hotmail.com,9182451462,"USNV Stanton, FPO AE 67043",2025-08-13,Silver,13875
71048,Daniel Garrett,danielgarrett@outlook.com,+1-289-332-5288x0957,"USNV Allen, FPO AE 74865",2023-11-05,Bronze,2649
99235,Christopher Tucker,christopher.tucker@outlook.com,882-527-8248,"USNS Marquez, FPO AA 88540",2025-01-21,Bronze,3758
83881,Nathaniel Lam,nathaniel36@aol.com,213.331.5098x393,"10518 Joshua Oval, New David, FM 75348",2024-11-25,Bronze,1790
90603,Thomas Mueller,thomasmueller@icloud.com,(331)516-5667x01065,"62473 Scott Wall Apt. 080, Port Melindaburgh, MT 64154",2024-09-12,Bronze,776
84524,Jason Morales,jasonmorales@aol.com,9264064746,"98050 Breanna Parkway, North Susan, CO 24857",2023-10-28,Bronze,2604
88493,Brooke Leonard,brooke62@aol.com,361.893.9909,"3534 Anderson Rue Suite 751, South Christineshire, CT 10103",2024-10-26,Bronze,4792
89846,Jason Baker,jasonbaker@icloud.com,(613)354-2784x980,"USNS Baker, FPO AE 97811",2024-11-07,Silver,5217
9042,Eric Campbell,eric98@icloud.com,853.648.7401,"42786 Daniel Spurs Apt. 805, South David, ME 48296",2025-08-03,Bronze,3510
98835,Sarah Stanton,sarahstanton@icloud.com,4535315869,"0256 Joseph Turnpike, South Monicafort, IN 26659",2025-05-31,Bronze,2429
91507,Samantha Bailey,samantha.bailey@outlook.com,730.836.5414,"14294 Daniel Mews Suite 569, South Rachelborough, KS 06318",2025-03-08,Bronze,4899
94433,Ryan Meyer,ryanmeyer@outlook.com,+1-635-661-5951,"4823 Ortega Light Apt. 994, Kelleytown, ME 38107",2024-02-15,Bronze,324
83506,Russell Carpenter,russell.carpenter@outlook.com,+1-757-377-3872x1489,"433 Andrew Gardens, Carrland, NH 54822",2025-07-24,Bronze,2713
81897,Crystal Lee,crystallee@yahoo.com,001-967-263-2016x328,"2788 Dodson Mills, Rivasside, NV 21362",2025-04-04,Gold,26407
92762,Michelle Cole,michelle49@icloud.com,001-334-487-3471x43455,"231 Russell Plains Suite 603, Priceshire, UT 03061",2025-07-01,Bronze,49
84971,Nicole Johnston,nicole.johnston@outlook.com,805.946.6889x3734,"627 Tina Place Apt. 699, North Dawnberg, VI 61016",2024-01-24,Silver,7318
82931,Brent Gray,brentgray@yahoo.com,975.256.4641,"3100 James Brooks, East David, TN 15494",2024-11-16,Bronze,640
84586,Stacie Marshall,staciemarshall@outlook.com,852-899-1241x904,"USNS Jones, FPO AP 82714",2024-03-11,Bronze,1445
71063,Curtis Barton,curtis.barton74@hotmail.com,+1-991-390-5865x18506,"726 Jessica Run Suite 987, Grahamshire, KY 42746",2025-06-27,Platinum,36599
72221,John Michael,john.michael47@outlook.com,973-579-9650x752,"4948 Zachary Field Apt. 367, Lake Thomas, VT 64833",2024-08-18,Bronze,3856
96522,Laura Davis,laura.davis95@icloud.com,763.849.5788,"Unit 8557 Box 4443, DPO AE 95041",2024-02-01,Silver,12897
90626,Leslie Newton,leslie55@outlook.com,001-723-437-4989x41343,"0084 Dana Terrace, Garciatown, OK 37769",2024-09-03,Silver,7503
24183,Timothy Peterson,timothy.peterson49@yahoo.com,2474116719,"31869 Kimberly Light Suite 749, Torreston, RI 97505",2023-11-21,Bronze,2320
83579,Stacey Clark,stacey62@icloud.com,241.823.2812,"0344 Jones Fort Suite 936, New Jeffreyberg, PW 35317",2025-06-08,Bronze,3844
91061,Douglas Brown,douglas1@yahoo.com,999-347-1746x4887,"594 Christopher Spring Apt. 490, South April, NV 36959",2024-01-23,Bronze,3406
98672,Wendy Graham,wendy.graham50@aol.com,817.256.5512x5674,"5168 Diane Plains Suite 603, Cindyfort, SC 58440",2025-04-17,Bronze,4819
99067,Brett Adams,brettadams@gmail.com,(647)271-0932,"17127 Hicks Groves, Davenportfort, IA 60372",2024-11-06,Bronze,3574
6382,Duane Lee,duane.lee66@aol.com,+1-982-414-6584x044,"5886 Cantu Ways Apt. 396, Port Kimberly, AZ 42205",2025-04-05,Silver,11032
94614,Thomas Mcintyre,thomasmcintyre@aol.com,(962)270-2895x1718,"217 Morgan Square Suite 158, Finleyfort, VI 71413",2023-10-02,Bronze,282
93894,Christina Young,christina.young@hotmail.com,+1-643-716-1172x40050,"86922 Christian Ways, Harveybury, NM 76936",2023-12-25,Silver,7422
49661,Jesse Little,jesse88@outlook.com,840.674.8217x594,"67136 Andrews Squares Suite 064, New Michelleton, PW 79983",2025-04-05,Bronze,4737
82825,Tyler Strong,tyler.strong@yahoo.com,239-753-3942x1047,"5623 Kristin Wells, Alyssaview, MP 22068",2024-03-22,Silver,11297
97879,Robin Raymond,robinraymond@icloud.com,651-371-2368x5160,"651 Thomas River Suite 931, Blankenshipport, SD 54017",2023-12-04,Gold,17716
94252,Donald Shah,donald.shah39@hotmail.com,471-813-8267x5869,"640 Robinson Mills Apt. 515, Bruceview, ID 16512",2025-06-24,Silver,11743
87457,Madison Davis,madison12@aol.com,390.505.3293,"2904 Vanessa Plains, Laurenville, TN 03880",2023-12-16,Gold,19407
53901,Alexis Tyler,alexis51@aol.com,395.302.4026,"917 Sonia Cape Suite 700, Boonechester, TX 14651",2024-09-19,Bronze,1379
19842,Jennifer Wallace,jennifer.wallace9@gmail.com,759-821-2499,"Unit 8478 Box 9611, DPO AP 85817",2025-07-17,Silver,9724
84845,Kayla Le,kaylale@yahoo.com,367.736.5766,"2711 Christopher Court Suite 280, Elizabethchester, MI 87708",2025-09-04,Silver,8244
86732,Karen Parrish,karenparrish@icloud.com,001-304-794-5198x3273,"49368 Chelsea Shoals Suite 024, Sandrastad, AL 24278",2025-07-11,Bronze,483
