user_id,name,email,phone,address,signup_date,membership_status,loyalty_points
1,Allison Hill,bullsfan32@outlook.com,765.241.4586,"520 Payne Via, Port Kimberly, NH 91647",2023-11-27,Bronze,15934
2,Noah Rhodes,crimson90@comcast.net,742-794-0196,"17043 Kylie Canyon, Sarahhaven, MO 71677",2024-01-11,Platinum,17247
3,Angie Henderson,lakersfan28@outlook.com,(798)816-9340x60883,"345 Michelle Isle, Davidstad, NE 52932",2024-08-20,Silver,19174
4,Daniel Wagner,jazzfan26@att.net,759-851-4846,"2775 Owen Stream Suite 169, New Kelly, CT 10995",2024-09-01,Silver,8755
5,Cristian Santos,rb29@live.com,001-248-623-6629x946,"7962 Bell Canyon Suite 964, North Emilyfurt, MN 67752",2024-05-06,Bronze,12383
6,Connie Lawrence,alpha98@sbcglobal.net,336-699-5777x3872,"29702 Joel Rue, Michaelshire, AZ 79811",2024-07-17,Bronze,18141
7,Abigail Shaffer,pasta36@hotmail.com,395.913.4332x00379,"5719 Alyssa Locks Suite 431, Lake Jacobhaven, MS 74120",2023-12-08,Bronze,14820
8,Gina Moore,universe23@yahoo.com,(993)267-6320x16328,"739 Benson Overpass Apt. 121, Thompsonmouth, CO 89882",2024-10-26,Gold,7574
9,Gabrielle Davis,glacier87@aol.com,+1-731-972-7889,"Unit 5518 Box 8442, DPO AP 93504",2024-06-10,Silver,6374
10,Ryan Munoz,amy550@yahoo.com,+1-986-587-2774x348,"PSC 2583, Box 1323, APO AA 03946",2025-04-26,Silver,1678
11,Monica Herrera,mary81@msn.com,571-843-4558x122,"8291 Kyle Stravenue Suite 866, East Teresaland, NV 61558",2024-02-14,Bronze,19626
12,Jamie Arnold,drone47@comcast.net,001-823-816-6587x603,"89226 Marie Path Apt. 422, Sarahbury, MI 68513",2024-08-22,Platinum,1059
13,Lisa Hensley,gamer678@outlook.com,001-590-996-7054x66889,"PSC 1438, Box 4249, APO AP 12746",2024-05-02,Gold,16198
14,Michele Williams,brandi.hernandez@bellsouth.net,946.470.6562,"922 Kirby Port, Port Michelleland, AZ 84577",2024-08-30,Bronze,9914
15,Dylan Miller,copper285@live.com,+1-280-669-9016x272,"396 Tyler Road Suite 473, Evansland, UT 08353",2024-03-29,Bronze,19541
16,Brian Ramirez,valley57@icloud.com,(253)775-5646x4170,"7359 Larry Stravenue Suite 562, Zacharyville, MD 32186",2025-06-29,Bronze,10817
17,Holly Wood,chef78@verizon.net,510.403.3092,"3210 Dougherty Way Suite 325, Jamesburgh, NM 67967",2023-12-08,Bronze,10921
18,Derek Zuniga,snow30@live.com,319.237.4529x9124,"0168 Levy Forge Suite 004, Harperfort, LA 70846",2023-11-15,Silver,9789
19,Lisa Jackson,quantum29@verizon.net,296-763-1931x4919,"2456 Williams Center, West Angela, CA 51140",2024-01-06,Bronze,16312
20,Carla Gray,cosmos39@bellsouth.net,+1-365-818-5067,"912 Phillip Underpass Suite 852, New William, NY 05777",2025-05-25,Bronze,11252
21,Margaret Hawkins DDS,pegasus275@yahoo.com,(672)762-8498x776,"578 Hernandez Passage, West Sarah, MD 21800",2025-02-19,Silver,2693
22,Patty Perez,immortalperson28@verizon.net,714.273.7996,"588 Erickson Hills Suite 055, South Brandytown, PA 62706",2024-04-29,Bronze,13931
23,Ethan Adams,silent1989@aol.com,552.373.5454x9480,"097 Alexandria Stravenue, Hernandezbury, AZ 75548",2025-06-08,Bronze,3627
24,Tommy Walter,body78@aol.com,367.683.7770,"USS Lee, FPO AA 41617",2025-03-06,Bronze,16157
25,Matthew Foster,fish52@icloud.com,763.849.5788,"368 Salas Street Apt. 283, Whitneyfort, NC 49892",2025-02-28,Bronze,10173
26,Judy Baker,brilliant73@yahoo.com,001-485-557-4443x1351,"8585 Bishop Fields, West Angela, IN 39509",2024-12-17,Silver,18047
27,Justin Baker,david.parker@hotmail.com,674.598.9413,"757 Castro Underpass, Keithshire, TX 71698",2023-10-07,Bronze,10230
28,Stephanie Ross,iota77@yahoo.com,(924)308-2400x842,"2404 Michael Mills Suite 733, Sarahview, DC 14817",2024-02-20,Silver,15707
29,Zachary Hicks,software77@aol.com,6949777520,"08330 Robert Stravenue, Garciaberg, AL 72636",2025-06-16,Silver,11494
30,Anthony Rodriguez,rachel.flynn@verizon.net,616-371-9022,"Unit 2677 Box 3454, DPO AP 08255",2025-07-02,Bronze,1306
